TimeStamp,HANDSHAKE,HANDSHAKE
14313.132479,0.148611,0.974946
24727.264957,0.8945,0.0776672
35141.397436,0.0636794,0.861239
45555.529915,0.976971,0.165511
55969.662393,0.0105074,0.799035
66383.794872,0.956386,0.242842
76797.927350,0.0250464,0.726183
87212.059829,0.908296,0.279031
97626.192308,0,1
108040.324786,0,1
118454.457265,0.256358,0.586885
128868.589744,0.764529,0.489985
139282.722222,0.306016,0.443746
149696.854701,0.590605,0.598192
160110.987179,0.450768,0.361929
170525.119658,0.535044,0.640411
180939.252137,0.474644,0.337757
191353.384615,0.484434,0.705615
201767.517094,0.561332,0.24791
212181.649573,0.413593,0.793241
222595.782051,0.621966,0.168483
233009.914530,0.324101,0.873003
243424.047009,0.722695,0.0901356
253838.179487,0.237037,0.94788
264252.311966,0.769437,0.0340516
274666.444444,0.18743,0.959258
285080.576923,0.918184,0.110957
295494.709402,0.0276363,0.841864
305908.841880,1,0.202397
316322.974359,0.0481995,0.764094
326737.106838,0.923322,0.281305
337151.239316,0.128214,0.676696
347565.371795,0.817441,0.366476
357979.504274,0.218141,0.588496
368393.636752,0.759276,0.430184
378807.769231,0.228875,0.559192
389221.901709,0.716134,0.477277
399636.034188,0.320564,0.483038
410050.166667,0.598409,0.563122
420464.299145,0.442837,0.392274
430878.431624,0.569893,0.647389
441292.564103,0.482671,0.31328
451706.696581,0.482642,0.734325
462120.829060,0,1
472534.961538,0,1
482949.094017,0.691693,0.112856
493363.226496,0.241552,0.955101
503777.358974,0.723518,0
514191.491453,0.250614,0.949782
524605.623932,0.876858,0.0862532
535019.756410,0.0793546,0.881508
545433.888889,0.97682,0.170558
555848.021368,0.0189211,0.792571
566262.153846,0.941499,0.244881
576676.286325,0.0544707,0.72473
587090.418803,0.90789,0.274087
597504.551282,0.123133,0.683378
607918.683761,0.846531,0.363385
618332.816239,0.152485,0.592736
628746.948718,0.749251,0.442717
639161.081197,0.29324,0.516105
649575.213675,0.673801,0.530034
659989.346154,0.363616,0.427851
670403.478632,0.600761,0.586038
680817.611111,0,1
691231.743590,0,1
701645.876068,0.588458,0.222055
712060.008547,0.433104,0.816538
722474.141026,0.592412,0.141211
732888.273504,0.33822,0.861501
743302.405983,0.708851,0.0912733
753716.538462,1,0.944084
764130.670940,1,0.0206133
774544.803419,1,0
784958.935897,1,0.0486455
795373.068376,0.112027,0.914442
805787.200855,0.894989,0.129362
816201.333333,0.0227185,0.83762
826615.465812,1,0.206449
837029.598291,0.0549822,0.755001
847443.730769,1,0
857857.863248,1,0
868271.995726,0.857942,0.467927
878686.128205,0.248327,0.525981
889100.260684,0.710529,0.485735
899514.393162,0.307987,0.457587
909928.525641,0.619645,0.577742
920342.658120,0.404255,0.39315
930756.790598,1,0
941170.923077,1,0
951585.055556,0.494573,0.791734
961999.188034,0.595295,0.163724
972413.320513,0.387603,0.871796
982827.452991,0.6135,0.131456
993241.585470,0.304221,0.899401
1003655.717949,0.719809,0.0461793
1014069.850427,0.226196,1
1024483.982906,0.824317,0
1034898.115385,1,0
1045312.247863,1,0.130438
1055726.380342,0.0171546,0.82644
1066140.512821,0.985604,0.203733
1076554.645299,0.015313,0.765083
1086968.777778,0.947563,0.242974
1097382.910256,0.0626652,0.713654
1107797.042735,0.865901,0.324645
1118211.175214,0.168731,0.636084
1128625.307692,0.790431,0.40245
1139039.440171,0.255884,0.549178
1149453.572650,0.696794,0.497079
1159867.705128,0.344606,0.462967
1170281.837607,0.622436,0.572978
1180695.970085,0,1
1191110.102564,0,1
1201524.235043,0.487806,0.217881
1211938.367521,0.483764,0.837465
1222352.500000,0.552165,0.127128
1232766.632479,0.357416,0.878272
1243180.764957,0.716893,0.0908511
1253594.897436,0.257942,0.945357
1264009.029915,0.79493,0.0123118
1274423.162393,0.122125,1
1284837.294872,0,1
1295251.427350,0,0.844225
1305665.559829,0.87754,0.186765
1316079.692308,0.109018,0.760035
1326493.824786,0.969123,0.283921
1336907.957265,0.0212382,0.674832
1347322.089744,0.934916,0.372769
1357736.222222,0.112602,0.594058
1368150.354701,0.851188,0.439204
1378564.487179,0.200341,0.54421
1388978.619658,0.737556,0.472153
1399392.752137,0.283613,0.497114
1409806.884615,0.661651,0.526676
1420221.017094,0.38195,0.432309
1430635.149573,0.580621,0.611722
1441049.282051,0.461993,0.344464
1451463.414530,0.512263,0.69844
1461877.547009,0.528374,0.261249
1472291.679487,0.385196,0.779356
1482705.811966,0.67551,0.140558
1493119.944444,0.28401,0.911753
1503534.076923,0.709431,0.059373
1513948.209402,0.230059,0.979849
1524362.341880,0.829721,0.0260716
1534776.474359,0.13326,0.934321
1545190.606838,0.920703,0.11496
1555604.739316,0.0309115,0.842288
1566018.871795,1,0.191158
1576433.004274,0.0303644,0.787373
1586847.136752,0.970592,0.22537
1597261.269231,0.0802861,0.731935
1607675.401709,0.881722,0.306442
1618089.534188,0.153403,0.651327
1628503.666667,0.833393,0.380999
1638917.799145,0.119692,0.57643
1649331.931624,1,0
1659746.064103,1,0
1670160.196581,0.577667,0.672608
1680574.329060,0.427254,0.354041
1690988.461538,0.552511,0.667079
1701402.594017,0.489873,0.295124
1711816.726496,1,0
1722230.858974,1,0
1732644.991453,0.420322,0.868054
1743059.123932,0.552186,0.0846207
1753473.256410,1,0.951994
1763887.388889,1,0.011507
1774301.521368,0.244831,0.980082
1784715.653846,0.789798,0.0821498
1795129.786325,0.156409,0.954781
1805543.918803,0.981867,0
1815958.051282,1,0
1826372.183761,1,0.259964
1836786.316239,0,0.69655
1847200.448718,0.847269,0.348927
1857614.581197,0.174939,0.619876
1868028.713675,0.856894,0.418373
1878442.846154,0.233812,0.545352
1888856.978632,0.790634,0.489727
1899271.111111,0.282578,0.474711
1909685.243590,0.623641,0.577328
1920099.376068,0.412542,0.383844
1930513.508547,0.54856,0.651156
1940927.641026,0.50219,0.299976
1951341.773504,0.449797,0.749172
1961755.905983,0.544235,0.211615
1972170.038462,0.411837,0.814629
1982584.170940,0.618104,0.199458
1992998.303419,1,0
2003412.435897,1,0
2013826.568376,0.283742,0.923492
2024240.700855,0.756905,0.0512182
2034654.833333,0.205053,1
2045068.965812,0.838163,0.0486623
2055483.098291,0.111718,0.927604
2065897.230769,0.92868,0.121057
2076311.363248,0.0429834,0.831352
2086725.495726,0.988753,0.247011
2097139.628205,0.094723,0.717017
2107553.760684,0.877452,0.331985
2117967.893162,0.168871,0.627345
2128382.025641,0.787572,0.420239
2138796.158120,0.198102,0.542641
2149210.290598,0.732741,0.492883
2159624.423077,0.340828,0.473694
2170038.555556,0.628439,0.558967
2180452.688034,0,1
2190866.820513,0,1
2201280.952991,0.49787,0.259954
2211695.085470,0.416666,0.778272
2222109.217949,0.619743,0.185444
2232523.350427,0.397749,0.858139
2242937.482906,0.671027,0.0943366
2253351.615385,0.255023,0.946053
