Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
0,00000512,false,Rx,1,4,00,00,00,00,00,00,00,00,
1139,00000525,false,Rx,1,8,00,00,00,00,00,00,00,00,
1141,00000513,false,Rx,1,2,00,00,00,00,00,00,00,00,
1143,00000514,false,Rx,1,2,00,00,00,00,00,00,00,00,
2138,00000526,false,Rx,1,8,00,00,00,00,00,00,00,00,
6222,00000520,false,Rx,1,8,01,06,52,00,00,00,00,00,
6224,00000521,false,Rx,1,6,00,00,00,00,9E,07,00,00,
8642,00000522,false,Rx,1,6,00,00,00,00,9E,07,00,00,
8644,00000523,false,Rx,1,6,00,00,D2,00,00,00,00,00,
9765,00000524,false,Rx,1,5,C8,C8,C8,C8,00,00,00,00,
9767,00000510,false,Rx,1,8,00,10,00,00,00,00,00,00,
9769,00000511,false,Rx,1,4,00,00,00,00,00,00,00,00,
10865,00000525,false,Rx,1,8,00,00,00,00,00,00,00,00,
10867,00000512,false,Rx,1,4,00,00,00,00,00,00,00,00,
10868,00000513,false,Rx,1,2,00,00,00,00,00,00,00,00,
10869,00000514,false,Rx,1,2,00,00,00,00,00,00,00,00,
10870,00000526,false,Rx,1,8,00,00,00,00,00,00,00,00,
16027,00000520,false,Rx,1,8,00,06,52,00,00,00,00,00,
17057,00000521,false,Rx,1,6,00,00,00,00,9E,07,00,00,
19026,00000523,false,Rx,1,6,00,00,D2,00,00,00,00,00,
19028,00000524,false,Rx,1,5,C8,C8,C8,C8,00,00,00,00,
20371,00000510,false,Rx,1,8,01,10,00,00,00,00,00,00,
20373,00000511,false,Rx,1,4,00,00,00,00,00,00,00,00,
20374,00000512,false,Rx,1,4,00,00,00,00,00,00,00,00,
20375,00000525,false,Rx,1,8,00,00,00,00,00,00,00,00,
20376,00000513,false,Rx,1,2,00,00,00,00,00,00,00,00,
21495,00000514,false,Rx,1,2,00,00,00,00,00,00,00,00,
21497,00000526,false,Rx,1,8,00,00,00,00,00,00,00,00,
26232,00000520,false,Rx,1,8,01,06,52,00,00,00,00,00,
27297,00000521,false,Rx,1,6,00,00,00,00,9E,07,00,00,
27299,00000522,false,Rx,1,6,00,00,00,00,9E,07,00,00,
30341,00000510,false,Rx,1,8,00,10,00,00,00,00,00,00,
30342,00000511,false,Rx,1,4,00,00,00,00,00,00,00,00,
30343,00000512,false,Rx,1,4,00,00,00,00,00,00,00,00,
30344,00000513,false,Rx,1,2,00,00,00,00,00,00,00,00,
30344,00000514,false,Rx,1,2,00,00,00,00,00,00,00,00,
33262,00000000,false,Rx,1,2,00,00,00,00,00,00,00,00,
34426,00000500,false,Rx,1,8,00,00,00,00,00,00,00,00,
34428,00000502,false,Rx,1,5,00,00,00,00,00,00,00,00,
37340,00000522,false,Rx,1,6,00,00,00,00,9E,07,00,00,
37341,00000523,false,Rx,1,6,00,00,D2,00,00,00,00,00,
39443,00000524,false,Rx,1,5,C8,C8,C8,C8,00,00,00,00,
39445,00000510,false,Rx,1,8,00,10,00,00,00,00,00,00,
40631,00000525,false,Rx,1,8,00,00,00,00,00,00,00,00,
40632,00000511,false,Rx,1,4,00,00,00,00,00,00,00,00,
40633,00000512,false,Rx,1,4,00,00,00,00,00,00,00,00,
40634,00000513,false,Rx,1,2,00,00,00,00,00,00,00,00,
40635,00000514,false,Rx,1,2,00,00,00,00,00,00,00,00,
41917,00000526,false,Rx,1,8,00,00,00,00,00,00,00,00,
45801,00000520,false,Rx,1,8,01,06,52,00,00,00,00,00,
47411,00000521,false,Rx,1,6,00,00,00,00,9E,07,00,00,
47413,00000522,false,Rx,1,6,00,00,00,00,9E,07,00,00,
47414,00000523,false,Rx,1,6,00,00,D2,00,00,00,00,00,
49341,00000524,false,Rx,1,5,C8,C8,C8,C8,00,00,00,00,
50344,00000510,false,Rx,1,8,00,10,00,00,00,00,00,00,
50345,00000511,false,Rx,1,4,00,00,00,00,00,00,00,00,
50346,00000512,false,Rx,1,4,00,00,00,00,00,00,00,00,
50347,00000525,false,Rx,1,8,00,00,00,00,00,00,00,00,
50348,00000513,false,Rx,1,2,00,00,00,00,00,00,00,00,
51538,00000514,false,Rx,1,2,00,00,00,00,00,00,00,00,
52643,00000526,false,Rx,1,8,00,00,00,00,00,00,00,00,
55918,00000520,false,Rx,1,8,00,06,52,00,00,00,00,00,
55919,00000521,false,Rx,1,6,00,00,00,00,9E,07,00,00,
58375,00000522,false,Rx,1,6,00,00,00,00,9E,07,00,00,
58376,00000523,false,Rx,1,6,00,00,D2,00,00,00,00,00,
59524,00000524,false,Rx,1,5,C8,C8,C8,C8,00,00,00,00,
59526,00000510,false,Rx,1,8,01,10,00,00,00,00,00,00,
59526,00000511,false,Rx,1,4,00,00,00,00,00,00,00,00,
60764,00000512,false,Rx,1,4,00,00,00,00,00,00,00,00,
60765,00000513,false,Rx,1,2,00,00,00,00,00,00,00,00,
60766,00000514,false,Rx,1,2,00,00,00,00,00,00,00,00,
66277,00000520,false,Rx,1,8,01,06,52,00,00,00,00,00,
66278,00000521,false,Rx,1,6,00,00,00,00,9E,07,00,00,
68150,00000522,false,Rx,1,6,00,00,00,00,9E,07,00,00,
69331,00000523,false,Rx,1,6,00,00,D2,00,00,00,00,00,
70377,00000510,false,Rx,1,8,00,10,00,00,00,00,00,00,
70378,00000524,false,Rx,1,5,C8,C8,C8,C8,00,00,00,00,
70379,00000511,false,Rx,1,4,00,00,00,00,00,00,00,00,
70379,00000512,false,Rx,1,4,00,00,00,00,00,00,00,00,
70380,00000525,false,Rx,1,8,00,00,00,00,00,00,00,00,
71384,00000513,false,Rx,1,2,00,00,00,00,00,00,00,00,
71385,00000514,false,Rx,1,2,00,00,00,00,00,00,00,00,
71386,00000526,false,Rx,1,8,00,00,00,00,00,00,00,00,
79382,00000523,false,Rx,1,6,00,00,D2,00,00,00,00,00,
79383,00000510,false,Rx,1,8,00,10,00,00,00,00,00,00,
80526,00000524,false,Rx,1,5,C8,C8,C8,C8,00,00,00,00,
80528,00000511,false,Rx,1,4,00,00,00,00,00,00,00,00,
80529,00000512,false,Rx,1,4,00,00,00,00,00,00,00,00,
80529,00000513,false,Rx,1,2,00,00,00,00,00,00,00,00,
80530,00000525,false,Rx,1,8,00,00,00,00,00,00,00,00,
81563,00000514,false,Rx,1,2,00,00,00,00,00,00,00,00,
82730,00000526,false,Rx,1,8,00,00,00,00,00,00,00,00,
85847,00000520,false,Rx,1,8,01,06,52,00,00,00,00,00,
85848,00000521,false,Rx,1,6,00,00,00,00,9E,07,00,00,
87578,00000522,false,Rx,1,6,00,00,00,00,9E,07,00,00,
90332,00000510,false,Rx,1,8,00,10,00,00,00,00,00,00,
90334,00000511,false,Rx,1,4,00,00,00,00,00,00,00,00,
90335,00000512,false,Rx,1,4,00,00,00,00,00,00,00,00,
90335,00000513,false,Rx,1,2,00,00,00,00,00,00,00,00,
90336,00000514,false,Rx,1,2,00,00,00,00,00,00,00,00,
95539,00000520,false,Rx,1,8,00,06,52,00,00,00,00,00,
95540,00000521,false,Rx,1,6,00,00,00,00,9E,07,00,00,
97330,00000522,false,Rx,1,6,00,00,00,00,9E,07,00,00,
98376,00000523,false,Rx,1,6,00,00,D2,00,00,00,00,00,
100155,00000524,false,Rx,1,5,C8,C8,C8,C8,00,00,00,00,
100156,00000510,false,Rx,1,8,01,10,00,00,00,00,00,00,
100157,00000511,false,Rx,1,4,00,00,00,00,00,00,00,00,
100159,00000512,false,Rx,1,4,00,00,00,00,00,00,00,00,
100160,00000513,false,Rx,1,2,00,00,00,00,00,00,00,00,
101416,00000525,false,Rx,1,8,00,00,00,00,00,00,00,00,
101418,00000514,false,Rx,1,2,00,00,00,00,00,00,00,00,
101419,00000526,false,Rx,1,8,00,00,00,00,00,00,00,00,
106591,00000520,false,Rx,1,8,01,06,52,00,00,00,00,00,
106593,00000521,false,Rx,1,6,00,00,00,00,9E,07,00,00,
108027,00000522,false,Rx,1,6,00,00,00,00,9E,07,00,00,
109068,00000523,false,Rx,1,6,00,00,D2,00,00,00,00,00,
110306,00000510,false,Rx,1,8,00,10,00,00,00,00,00,00,
110307,00000511,false,Rx,1,4,00,00,00,00,00,00,00,00,
110309,00000512,false,Rx,1,4,00,00,00,00,00,00,00,00,
110310,00000513,false,Rx,1,2,00,00,00,00,00,00,00,00,
110311,00000514,false,Rx,1,2,00,00,00,00,00,00,00,00,
111749,00000526,false,Rx,1,8,00,00,00,00,00,00,00,00,
116453,00000520,false,Rx,1,8,00,06,52,00,00,00,00,00,
116455,00000521,false,Rx,1,6,00,00,00,00,9E,07,00,00,
119710,00000524,false,Rx,1,5,C8,C8,C8,C8,00,00,00,00,
120389,00000510,false,Rx,1,8,01,10,00,00,00,00,00,00,
120391,00000511,false,Rx,1,4,00,00,00,00,00,00,00,00,
120391,00000512,false,Rx,1,4,00,00,00,00,00,00,00,00,
120392,00000525,false,Rx,1,8,00,00,00,00,00,00,00,00,
120393,00000513,false,Rx,1,2,00,00,00,00,00,00,00,00,
121589,00000514,false,Rx,1,2,00,00,00,00,00,00,00,00,
121590,00000526,false,Rx,1,8,00,00,00,00,00,00,00,00,
126739,00000521,false,Rx,1,6,00,00,00,00,9E,07,00,00,
126742,00000522,false,Rx,1,6,00,00,00,00,9E,07,00,00,
128388,00000523,false,Rx,1,6,00,00,D2,00,00,00,00,00,
129590,00000524,false,Rx,1,5,C8,C8,C8,C8,00,00,00,00,
129592,00000510,false,Rx,1,8,01,10,00,00,00,00,00,00,
130911,00000511,false,Rx,1,4,00,00,00,00,00,00,00,00,
130913,00000512,false,Rx,1,4,00,00,00,00,00,00,00,00,
130915,00000513,false,Rx,1,2,00,00,00,00,00,00,00,00,
130916,00000514,false,Rx,1,2,00,00,00,00,00,00,00,00,
135082,00000502,false,Rx,1,5,00,00,00,00,00,00,00,00,
136096,00000520,false,Rx,1,8,00,06,52,00,00,00,00,00,
137123,00000521,false,Rx,1,6,00,00,00,00,9E,07,00,00,
137124,00000522,false,Rx,1,6,00,00,00,00,9E,07,00,00,
138698,00000523,false,Rx,1,6,00,00,D2,00,00,00,00,00,
139634,00000524,false,Rx,1,5,C8,C8,C8,C8,00,00,00,00,
139636,00000510,false,Rx,1,8,01,10,00,00,00,00,00,00,
139637,00000511,false,Rx,1,4,00,00,00,00,00,00,00,00,
140891,00000525,false,Rx,1,8,00,00,00,00,00,00,00,00,
140892,00000512,false,Rx,1,4,00,00,00,00,00,00,00,00,
140893,00000513,false,Rx,1,2,00,00,00,00,00,00,00,00,
140894,00000514,false,Rx,1,2,00,00,00,00,00,00,00,00,
142413,00000526,false,Rx,1,8,00,00,00,00,00,00,00,00,
148556,00000523,false,Rx,1,6,00,00,D2,00,00,00,00,00,
149964,00000524,false,Rx,1,5,C8,C8,C8,C8,00,00,00,00,
149965,00000510,false,Rx,1,8,01,10,00,00,00,00,00,00,
149966,00000511,false,Rx,1,4,00,00,00,00,00,00,00,00,
