Index	Close Left (x,y,z)	Close Right (x,y,z)	Far Left (x,y,z)	Far Right (x,y,z)
0	0.00,6.00,0.00	0.00,-6.00,0.00	5.00,6.00,0.00	5.00,-6.00,0.00
1	5.00,6.50,0.00	5.00,-5.50,0.00	10.00,6.50,0.00	10.00,-5.50,0.00
2	10.00,6.99,0.00	10.00,-5.01,0.00	15.00,6.99,0.00	15.00,-5.01,0.00
3	15.00,7.48,0.00	15.00,-4.52,0.00	20.00,7.48,0.00	20.00,-4.52,0.00
4	20.00,7.95,0.00	20.00,-4.05,0.00	25.00,7.95,0.00	25.00,-4.05,0.00
5	25.00,8.40,0.00	25.00,-3.60,0.00	30.00,8.40,0.00	30.00,-3.60,0.00
6	30.00,8.82,0.00	30.00,-3.18,0.00	35.00,8.82,0.00	35.00,-3.18,0.00
7	35.00,9.22,0.00	35.00,-2.78,0.00	40.00,9.22,0.00	40.00,-2.78,0.00
8	40.00,9.59,0.00	40.00,-2.41,0.00	45.00,9.59,0.00	45.00,-2.41,0.00
9	45.00,9.92,0.00	45.00,-2.08,0.00	50.00,9.92,0.00	50.00,-2.08,0.00
10	50.00,10.21,0.00	50.00,-1.79,0.00	55.00,10.21,0.00	55.00,-1.79,0.00
11	55.00,10.46,0.00	55.00,-1.54,0.00	60.00,10.46,0.00	60.00,-1.54,0.00
12	60.00,10.66,0.00	60.00,-1.34,0.00	65.00,10.66,0.00	65.00,-1.34,0.00
13	65.00,10.82,0.00	65.00,-1.18,0.00	70.00,10.82,0.00	70.00,-1.18,0.00
14	70.00,10.93,0.00	70.00,-1.07,0.00	75.00,10.93,0.00	75.00,-1.07,0.00
15	75.00,10.99,0.00	75.00,-1.01,0.00	80.00,10.99,0.00	80.00,-1.01,0.00
16	80.00,11.00,0.00	80.00,-1.00,0.00	85.00,11.00,0.00	85.00,-1.00,0.00
17	85.00,10.96,0.00	85.00,-1.04,0.00	90.00,10.96,0.00	90.00,-1.04,0.00
18	90.00,10.87,0.00	90.00,-1.13,0.00	95.00,10.87,0.00	95.00,-1.13,0.00
19	95.00,10.73,0.00	95.00,-1.27,0.00	100.00,10.73,0.00	100.00,-1.27,0.00
20	100.00,10.55,0.00	100.00,-1.45,0.00	105.00,10.55,0.00	105.00,-1.45,0.00
21	105.00,10.32,0.00	105.00,-1.68,0.00	110.00,10.32,0.00	110.00,-1.68,0.00
22	110.00,10.04,0.00	110.00,-1.96,0.00	115.00,10.04,0.00	115.00,-1.96,0.00
23	115.00,9.73,0.00	115.00,-2.27,0.00	120.00,9.73,0.00	120.00,-2.27,0.00
24	120.00,9.38,0.00	120.00,-2.62,0.00	125.00,9.38,0.00	125.00,-2.62,0.00
