stamp,x,y,z,qx,qy,qz,qw,vx,vy,vz
246.491000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
246.669000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
246.866000,0.000084,0.000254,0.000032,0.000058,-0.000004,0.000014,1.000000,0.000000,0.000000,0.000000
247.016000,0.000160,0.000075,0.000068,0.000033,0.000022,0.000141,1.000000,0.000000,0.000000,0.000000
247.233000,0.000116,0.000061,0.000033,-0.000018,-0.000007,0.000020,1.000000,0.000000,0.000000,0.000000
248.164000,0.000141,0.000235,-0.000137,0.000130,0.000063,0.000211,1.000000,0.000000,0.000000,0.000000
248.265000,0.000172,0.000373,0.000191,0.000106,0.000008,0.000109,1.000000,0.000000,0.000000,0.000000
248.891000,0.000052,0.000205,0.000247,-0.000063,-0.000010,-0.000058,1.000000,0.000000,0.000000,0.000000
249.171000,0.000092,0.000285,0.000137,0.000019,0.000059,0.000104,1.000000,0.000000,0.000000,0.000000
249.379000,0.000001,0.000434,0.000013,0.000113,0.000097,0.000154,1.000000,0.000000,0.000000,0.000000
249.587000,0.000076,0.000577,-0.000090,0.000173,0.000005,0.000109,1.000000,0.000000,0.000000,0.000000
250.091000,0.000008,0.000348,0.000281,0.000004,-0.000054,-0.000048,1.000000,0.000000,0.000000,0.000000
250.389000,-0.000001,0.000043,0.000213,-0.000069,-0.000027,-0.000052,1.000000,0.000000,0.000000,0.000000
251.039000,-0.000031,0.000120,-0.000087,0.000003,0.000004,0.000036,1.000000,0.000000,0.000000,0.000000
251.314000,-0.000176,0.000054,0.000090,-0.000051,0.000031,0.000011,1.000000,0.000000,0.000000,0.000000
251.504000,0.000940,0.001560,0.005178,0.000214,0.000302,-0.002278,0.999997,0.000000,0.000000,0.000000
251.812000,0.000935,0.001474,0.005744,-0.000023,0.000250,-0.002449,0.999997,0.000000,0.000000,0.000000
251.908000,0.000975,0.001544,0.005666,0.000050,0.000269,-0.002357,0.999997,0.000000,0.000000,0.000000
252.319000,0.001146,0.002094,0.005879,0.000140,0.000268,-0.002278,0.999997,0.000000,0.000000,0.000000
252.615000,0.000984,0.001535,0.005798,-0.000024,0.000301,-0.002294,0.999997,0.000000,0.000000,0.000000
252.716000,0.000841,0.000672,0.005541,-0.000204,0.000298,-0.002431,0.999997,0.000000,0.000000,0.000000
253.225000,0.001129,0.001240,0.005185,0.000031,0.000259,-0.002298,0.999997,0.000000,0.000000,0.000000
253.323000,0.000882,0.001776,0.006421,-0.000001,0.000309,-0.002299,0.999997,0.000000,0.000000,0.000000
253.536000,0.001074,0.001610,0.005842,0.000055,0.000274,-0.002192,0.999998,0.000000,0.000000,0.000000
253.629000,0.001048,0.001680,0.005682,0.000139,0.000291,-0.002253,0.999997,0.000000,0.000000,0.000000
